[Logger inizializzato alle 10:45:08]
[10:45:09] Window creata
[10:45:09] Lingua caricata: Italiano
[10:45:09] Tema caricato dal file config
[10:45:09] Modalità di riproduzione caricata dal file config
[10:45:09] Lista canzoni aggiornate
[10:45:09] Icone playlist caricate
[10:45:09] Repaint e Revalidate fatto
[10:45:09] Lingua aggiornata
[10:45:09] Icone aggiornate
[10:45:09] Tema applicato
[10:45:09] Pannello creato
[10:45:09] Lingua caricata: Italiano
[10:45:09] Repaint e Revalidate fatto
[10:45:09] Lingua aggiornata
[10:45:11] Lista canzoni aggiornate
[10:45:11] Icone playlist caricate
[10:45:11] Icone playlist caricate
[10:45:17] Lista canzoni aggiornate
[10:45:17] Icone playlist caricate
[10:45:17] Icone playlist caricate
[10:45:27] Lista canzoni aggiornate
[10:45:27] Icone playlist caricate
[10:45:27] CARNIVAL
[10:45:28] MP3Player: play() avviato – CARNIVAL
[10:45:28] MP3Player: inizio riproduzione di "CARNIVAL"
[10:45:28] MP3Player: thread playback avviato
[10:45:28] Icone aggiornate
[10:45:28] PlaybackManager: mutex acquisito, inizio monitoraggio slider
[10:45:28] PlaybackManager: percentuale attuale = 0
[10:45:28] MP3Player: player creato, avvio riproduzione
[10:45:29] PlaybackManager: percentuale attuale = 12
[10:45:30] PlaybackManager: percentuale attuale = 12
[10:45:31] PlaybackManager: percentuale attuale = 12
[10:45:31] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:45:31] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:45:31] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:45:31] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:45:31] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:45:31] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:45:31] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:45:31] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:45:31] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:45:31] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:45:31] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:45:31] ATTENZIONE: nessuna canzone selezionata nella comboBox
