[Logger inizializzato alle 10:46:30]
[10:46:30] Window creata
[10:46:30] Lingua caricata: Italiano
[10:46:30] Tema caricato dal file config
[10:46:30] Modalità di riproduzione caricata dal file config
[10:46:31] Lista canzoni aggiornate
[10:46:31] Icone playlist caricate
[10:46:31] Repaint e Revalidate fatto
[10:46:31] Lingua aggiornata
[10:46:31] Icone aggiornate
[10:46:31] Tema applicato
[10:46:31] Pannello creato
[10:46:31] Lingua caricata: Italiano
[10:46:31] Repaint e Revalidate fatto
[10:46:31] Lingua aggiornata
[10:46:49] Lista canzoni aggiornate
[10:46:49] Icone playlist caricate
[10:46:49] Icone playlist caricate
[10:46:56] Lista canzoni aggiornate
[10:46:56] Icone playlist caricate
[10:46:57] 530
[10:46:57] MP3Player: play() avviato – 530
[10:46:57] MP3Player: inizio riproduzione di "530"
[10:46:57] MP3Player: thread playback avviato
[10:46:57] Icone aggiornate
[10:46:57] PlaybackManager: mutex acquisito, inizio monitoraggio slider
[10:46:57] PlaybackManager: percentuale attuale = 0
[10:46:57] MP3Player: player creato, avvio riproduzione
[10:46:58] PlaybackManager: percentuale attuale = 1
[10:46:59] PlaybackManager: percentuale attuale = 2
[10:47:00] PlaybackManager: percentuale attuale = 2
[10:47:01] PlaybackManager: percentuale attuale = 2
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
[10:47:02] ATTENZIONE: nessuna canzone selezionata nella comboBox
